Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
14 Jakob Lail,136,46,90,33,32,84,48,75,71,13,8,6,10,9,9,0,8,0,0,"1,048.39",460.72,16.91,7.43,"1,120.12",513.37,15.78,7.23
02 Edwin Lu,10,2,8,1,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,35.21,-6.84,11.74,-2.28,54.32,32.03,18.11,10.68
01 Ryan Novinsky,106,98,8,69,3,93,54,77,86,7,5,6,16,9,7,2,4,0,0,981.78,275.01,14.44,4.04,"1,622.59","1,045.66",18.87,12.16
11 Tanner Yue,58,1,57,1,21,7,7,6,6,1,0,2,1,1,0,1,1,0,0,58.63,-10.13,11.73,-2.03,94.10,89.25,15.68,14.88
98 Charles Thorpey,93,72,21,54,8,113,63,106,74,39,4,11,7,13,9,4,6,0,0,"1,314.20",544.66,13.55,5.62,"1,195.96",275.41,16.16,3.72
19 Chris Pantaleon,145,5,140,3,53,122,56,118,87,35,8,8,4,19,18,1,10,0,0,"1,471.13",664.32,15.49,6.99,"1,245.85",363.50,14.32,4.18
29 Caleb Mok,180,117,63,84,25,273,110,261,236,37,14,21,12,24,17,7,12,0,0,"3,347.99","1,053.82",14.07,4.43,"3,499.48","1,059.20",14.83,4.49
17 Ryan Phi-Nguyen,175,74,101,55,42,315,124,305,216,99,52,16,10,44,40,4,23,0,0,"4,738.70","2,590.09",18.80,10.28,"3,293.79","1,268.50",15.25,5.87
99 Rafael Antipuesto,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15 Roman Leigh,132,76,56,56,29,73,52,61,62,11,5,9,12,9,8,1,16,0,0,809.33,401.65,15.56,7.72,"1,337.91","1,053.73",21.58,17.00
00 Joshua Krone,122,2,120,1,45,28,23,25,28,0,4,3,3,5,0,5,7,0,0,370.66,115.34,15.44,4.81,505.58,412.54,18.06,14.73
42 Vincent Cook,33,1,32,1,11,10,8,9,10,0,1,1,1,3,3,0,1,0,0,77.42,29.67,12.90,4.94,132.21,102.08,13.22,10.21
10 Daniel Thompson,90,85,5,62,3,65,45,54,55,10,2,2,11,8,5,3,2,0,0,657.40,99.54,13.99,2.12,949.95,534.67,17.27,9.72
03 Jacob Linares,96,6,90,5,42,47,37,28,44,3,3,2,19,2,1,1,9,1,0,374.32,165.35,13.86,6.12,"1,128.64",957.02,25.65,21.75
13 Tadeas Horn,190,127,63,94,28,455,151,437,359,96,36,25,18,42,41,1,10,0,0,"6,585.80","3,077.57",17.29,8.08,"4,968.56","1,117.87",13.84,3.11
16 Isaac Thongthap,39,32,7,25,2,27,18,21,25,2,1,3,6,2,1,1,1,0,0,243.35,15.22,12.81,0.80,456.62,316.14,18.26,12.65
08 Joseph Faso,144,117,27,85,8,163,80,154,117,46,6,9,9,21,15,6,10,0,0,"1,965.73",761.08,14.67,5.68,"1,832.41",609.10,15.66,5.21
21 Kevin Camelin,93,3,90,3,31,36,25,30,36,0,1,5,6,4,3,1,6,0,0,335.14,54.34,12.41,2.01,594.05,309.36,16.50,8.59
07 Jake Dapiran,21,19,2,16,1,8,6,6,8,0,2,0,2,3,1,2,0,0,0,69.72,34.91,13.94,6.98,103.66,67.20,12.96,8.40
77 Mark Blackburn,31,1,30,1,15,3,3,1,3,0,0,0,2,1,1,0,0,0,0,0.00,0.00,0.00,0.00,48.86,40.62,16.29,13.54
05 Xavier Herrera,50,2,48,1,21,21,16,15,19,2,2,1,7,6,5,1,3,0,0,203.79,140.10,20.38,14.01,372.70,250.90,19.62,13.21
23 Sakhin Selvamani,25,0,25,0,11,3,3,2,3,0,1,0,1,2,1,1,0,0,0,19.25,11.31,19.25,11.31,87.86,84.47,29.29,28.16
